MonthName,2017,2018,2019,2020,2021,2022,2022FC_Flat,2022FC_High,2022FC_Mid,Business Goal
Jan,1244066,1102377,1256176,1230280,984260,793735,1106766.5679616036,1516651.791016576,1383634.995231755,TBD
Feb,1295899,1189917,1165430,1181723,920180,NA,1116550.2229217447,1506065.784236355,1362086.2990629133,TBD
Mar,1640629,1750980,1778204,953387,1915315,NA,1471829.5849974738,1867005.6739815301,1761868.9006535222,TBD
Apr,1822649,1481224,1850743,308167,1854524,NA,1364500.583643217,1856994.2117729504,1702295.4595309081,TBD
May,1891606,1675329,1691613,1686992,1791098,NA,1471887.7605762093,1912712.4917076612,1799786.759417058,TBD
Jun,1885622,1810882,2179042,2119090,1709887,NA,1577766.758194257,1955876.9288873123,1890298.799697986,TBD
Jul,2392369,2378595,2461474,1463377,2569764,NA,1960911.8446152727,2410271.576963953,2277572.675859258,TBD
Aug,2580753,2531896,2589501,1220938,2410233,NA,2081978.2653161194,2589246.2460591346,2390799.974421872,TBD
Sep,1615576,1542885,1411915,861942,1448941,NA,1356032.7221411485,1829297.812677547,1646428.215130207,TBD
Oct,1653492,1600751,1622716,1390994,1560438,NA,1501993.7573479067,1951005.3091598204,1794331.3517132648,TBD
Nov,2511140,2527766,2551589,2418309,2563611,NA,2189014.1858942234,2576157.851823532,2465726.194462101,TBD
Dec,2302698,2486092,2287084,1862968,1933173,NA,1950590.2849940564,2312155.935889058,2234058.069177368,TBD
