MonthName,2017,2018,2019,2020,2021,2022,2022FC_M1C,2022FC_M2C,2022FC_M3C,Business Goal
Jan,5424,7891,6825,5132,1574,1788,2477.37189754409,3085.132818031557,6474.265552822205,TBD
Feb,6765,8389,6391,9612,1651,NA,3130.7419768866657,4009.8528047967275,6633.875804079615,TBD
Mar,10677,10124,10508,4899,5904,NA,5175.506627405231,6296.328069992277,9588.148108588011,TBD
Apr,12095,8390,10895,1,4740,NA,4508.7128398717105,5685.735120904547,10303.48653034014,TBD
May,11429,9269,10748,1466,4813,NA,3551.4518368665344,4809.492303758951,9838.375059690465,TBD
Jun,8022,13776,11852,3078,4542,NA,4248.545124307635,5597.34961203436,10383.344669276288,TBD
Jul,12600,12832,16234,6524,8885,NA,7254.272144948396,8780.36596674787,13473.519424277047,TBD
Aug,12958,14310,19023,8270,8590,NA,8096.0897012817995,9716.195393232605,14375.561343520043,TBD
Sep,8077,9248,8261,5781,5865,NA,3019.5387325013958,4548.574106326903,7414.526658685284,TBD
Oct,7399,5934,6250,3874,5634,NA,2144.743749251068,3384.4517841890843,6179.9799902498835,TBD
Nov,13418,11116,11007,6012,6612,NA,4583.509716469165,6376.0400729129515,10220.269884796764,TBD
Dec,11257,11639,9620,4842,5626,NA,4276.311130704849,6156.604692989396,9704.488597111895,TBD
