MonthName,2017,2018,2019,2020,2021,2022,2022FC_M1W,2022FC_M2W,2022FC_M3W,Business Goal
Jan,368,790,2141,1413,1110,1549,3290.6742342940133,2820.9442132878903,2889.6539746179956,TBD
Feb,422,767,892,1284,1266,NA,2824.8570310688656,2350.84625223747,2300.897232898473,TBD
Mar,797,1034,1657,845,2254,NA,3584.211207078866,3053.852864166414,2885.1867941861115,TBD
Apr,703,947,1170,75,1875,NA,3262.0164348761664,2695.7062254827656,2706.166976436689,TBD
May,674,1119,1469,735,2451,NA,3518.890835049445,2826.423585015466,2935.3665737504352,TBD
Jun,638,1471,1631,1277,2159,NA,3632.300320915012,2904.876168142764,2946.6879273814316,TBD
Jul,1100,1951,2328,1968,4003,NA,4613.23387780723,3805.582986349348,3691.961191615287,TBD
Aug,1539,2375,3253,2248,4214,NA,5011.85088394887,4145.691425501329,4139.586491129014,TBD
Sep,840,1588,1140,2056,2851,NA,3980.469724223872,3086.7022705206164,2967.124420347267,TBD
Oct,1076,870,1350,1605,2539,NA,3926.726392638211,2944.534823532554,2963.710319070666,TBD
Nov,1475,1813,2544,2548,4811,NA,4877.81324901727,3868.6488426782953,3626.0895441665148,TBD
Dec,1221,1506,1981,2515,3202,NA,4599.073740943368,3510.499509953731,3335.04301288395,TBD
