Month,TotalTraff,sales,SalesPerCar
2016-01-01,3765315,197155411.63,52.360934378664204
2016-02-01,3737336,244259881.13,65.35668217414758
2016-03-01,4655804,382350337.05,82.12337483493721
2016-04-01,4407048,312573213.82,70.92575661077437
2016-05-01,4731049,340214307.35,71.91096675388482
2016-06-01,4759284,412252369.68,86.62067018484294
2016-07-01,5752135,443120747.8,77.03587412326033
2016-08-01,5442156,443751684.49,81.53968472972844
2016-09-01,4484342,375694113.42,83.7790947746626
2016-10-01,4609354,325941646.84,70.71308622423011
2016-11-01,5275558,477214804.15,90.4576926554499
2016-12-01,6301687,558363924.95,88.60546786122511
2017-01-01,3765794,200135740.34,53.14569526107907
2017-02-01,3844250,253278268.74,65.88496292904988
2017-03-01,4558153,347296395.8,76.19235155116557
2017-04-01,4813425,363023042.75,75.41886343923505
2017-05-01,4845912,349097488.87,72.03958488515681
2017-06-01,4867171,411752525.7,84.59791646934123
2017-07-01,5625948,439187775.27,78.06467021557967
2017-08-01,5438677,450589943.5,82.84918253097214
2017-09-01,4517899,377888456.89,83.6425198726222
2017-10-01,4670452,327352467.76,70.09010428969188
2017-11-01,5384745,494400886.33,91.8150973407283
2017-12-01,6404412,574790928.05,89.74921164503469
2018-01-01,3704750,213886733.82,57.73310852824077
2018-02-01,3802193,262334792,68.99565382399052
2018-03-01,4953575,398257328.28,80.39796072129724
2018-04-01,4546359,328472037.36,72.24947201925761
2018-05-01,4991085,381913420.05,76.51911759667487
2018-06-01,5120082,433504530.83,84.66749767484193
2018-07-01,5656601,460307068.74,81.37520548824286
2018-08-01,5711728,475369915.45,83.22698760340128
2018-09-01,4456681,360138837.65,80.80875379009626
2018-10-01,4684333,339197588.19,72.41107500043229
2018-11-01,5468430,509790079.27,93.22421230042261
2018-12-01,6459468,576318064.36,89.22067024095483
2019-01-01,3847933,201024944.65,52.24231935691188
2019-02-01,3775530,249002162.21,65.9515782446438
2019-03-01,4955571,389556524.71,78.60981604541635
2019-04-01,4791980,361061279.85,75.34699223494256
2019-05-01,5061627,372094847.92,73.51289376321093
2019-06-01,5186994,433012879.56,83.480505194338
2019-07-01,5663674,450964707.89,79.62405814494267
2019-08-01,5899951,485630320.23,82.31090736685779
2019-09-01,4451370,357480634.72,80.30800286653323
2019-10-01,4787057,350731437.84,73.26660991084918
2019-11-01,5602539,513765249.77,91.70221747140002
2019-12-01,6330478,595474654.49,94.06472220423166
2020-01-01,3997763,214329191.74,53.61228060292719
2020-02-01,4170111,257553611.86,61.761812062077006
2020-03-01,2642584,164869919.95,62.389661009829766
2020-04-01,527724,2064775.98,3.91260579393774
2020-05-01,2224772,91836817.49,41.27920411170223
2020-06-01,4227888,331457868.94,78.39797765219892
2020-07-01,4654618,363804994.39,78.16001106642908
2020-08-01,4822209,380449254.51,78.89522302123363
2020-09-01,4400250,377840084.61,85.86786764615647
2020-10-01,4483917,325290596.34,72.54607887255717
2020-11-01,4712240,421397980.61,89.42625600775852
2020-12-01,5813389,541394517.03,93.12889900022172
2021-01-01,3820977,211482444.66,55.34774081602689
2021-02-01,3264281,210650663.97,64.53202526681986
2021-03-01,4926109,451968642.1,91.74962269409792
2021-04-01,4688754,379250129.26,80.88505587198645
2021-05-01,5016849,401711625.96,80.07249689197343
2021-06-01,5048161,476158511.94,94.32316281909392
2021-07-01,5710081,494076250.49,86.52701257477784
2021-08-01,5502737,480392636.55,87.30067174753218
2021-09-01,4643909,394994613.5,85.05649303205554
2021-10-01,5003286,377987297.37,75.54780945362708
2021-11-01,5358124,533082169.57,99.49045030872746
2021-12-01,6429313,630905383.28,98.12951761409033
2022-01-01,3180116,NA,NA
