MonthName,2017,2018,2019,2020,2021,2022,2022FC_High,2022FC_Low,2022FC_Mid,Business Goal
Jan,3765794,3704750,3847933,3997763,3820977,3109279,4270288.765617558,4055544.4055585647,4087375.7384715634,TBD
Feb,3844250,3802193,3775530,4170111,3264281,NA,4121532.0667762775,3801829.6822256763,3875752.220084763,TBD
Mar,4558153,4953575,4955571,2642584,4926109,NA,5073343.34466052,4660185.387971939,4722760.17869341,TBD
Apr,4813425,4546359,4791980,527724,4688754,NA,5101561.166040374,4214405.450615833,4355905.153995016,TBD
May,4845912,4991085,5061627,2224772,5016849,NA,5281528.598171086,4283063.13265665,4602986.830266489,TBD
Jun,4867171,5120082,5186994,4227888,5048161,NA,5315140.338998736,4594189.0916943,5014530.580714837,TBD
Jul,5625948,5656601,5663674,4654618,5710081,NA,6106013.303803969,5165040.019947587,5707746.928519409,TBD
Aug,5438677,5711728,5899951,4822209,5502737,NA,5946157.709714083,4923461.861115909,5575357.51179677,TBD
Sep,4517899,4456681,4451370,4400250,4643909,NA,4747409.198092291,3859638.1923279045,4589716.349476041,TBD
Oct,4670452,4684333,4787057,4483917,5003286,NA,5146517.701575503,4069464.6986122844,4919427.460732369,TBD
Nov,5384745,5468430,5602539,4712240,5358124,NA,5611479.316612439,4411968.483227139,5284936.976181644,TBD
Dec,6404412,6459468,6330478,5813389,6429313,NA,6570131.715011714,5619553.488268087,6557566.130368986,TBD
